student_id,enrollment_date,age,gender,course,retention,gpa
1,2025-01-15,22,M,Data Analytics,1,3.8
2,2025-01-20,24,F,Python Bootcamp,1,3.5
3,2025-02-10,21,M,SQL Basics,0,2.9
4,2025-02-18,25,F,Data Viz,1,4.0
5,2025-03-05,23,M,Data Analytics,0,3.2
6,2025-03-12,26,F,Python Bootcamp,1,3.7
7,2025-01-08,20,M,SQL Basics,1,3.4
8,2025-04-22,22,F,Data Viz,0,2.8
9,2025-05-10,24,M,Data Analytics,1,3.9
10,2025-06-01,21,F,Python Bootcamp,1,3.6
11,2025-07-15,23,M,SQL Basics,0,3.1
12,2025-08-20,25,F,Data Viz,1,4.0
13,2025-09-05,22,M,Data Analytics,1,3.7
14,2025-10-12,27,F,Python Bootcamp,0,3.0
15,2025-11-18,20,M,SQL Basics,1,3.5
16,2025-12-01,23,F,Data Analytics,1,3.9
17,2025-12-10,21,M,Python Bootcamp,1,3.6
18,2025-12-15,25,F,SQL Basics,0,3.0
19,2025-12-20,22,M,Data Viz,1,4.0
20,2025-12-25,24,F,Data Analytics,1,3.8
